k,L,tauL,candidates,pos,maxdef,maxns,gt1
1,1,1,0,0,0,,
2,2,2,0,0,0,,
3,6,4,3,1,1,7,
4,12,6,6,2,1,13;14,
5,60,12,25,1,1,23,
6,60,12,26,1,1,62,
7,420,24,84,1,1,143,
8,840,32,126,3,2,44,44:2
9,2520,48,226,2,1,319;509,
10,2520,48,243,12,3,46;47,46:3;47:3;74:2
11,27720,96,664,2,4,47,47:4
12,27720,96,706,6,2,174,174:2
13,360360,192,1714,0,0,,
14,360360,192,1814,2,2,239,239:2
15,360360,192,1912,6,1,719;799;2319;3967;5471;10015,
16,720720,240,2584,14,3,241,241:3
17,12252240,480,6073,1,1,74267,
18,12252240,480,6369,4,1,5718;20599;36474;350074,
19,232792560,960,14723,1,1,2099,
20,232792560,960,15394,0,0,,
21,232792560,960,16061,0,0,,
22,232792560,960,16722,0,0,,
23,5354228880,1920,37185,1,1,35423,
24,5354228880,1920,38624,0,0,,
25,26771144400,2880,61890,1,3,2105,2105:3
26,26771144400,2880,64132,2,1,76922;177659,
27,80313433200,3840,90008,6,3,1119,1119:3;5179:2
28,80313433200,3840,93061,24,9,284,284:9;8413:2;8414:2
29,2329089562800,7680,201266,0,0,,
30,2329089562800,7680,207778,8,1,3834687;4750206;13572799;17235294;26613311;40820414;40820415;775587614,
31,72201776446800,15360,442712,0,0,,
32,144403552893600,18432,549920,2,1,371942;1828859,
33,144403552893600,18432,566349,1,3,6459,6459:3
34,144403552893600,18432,582747,2,1,69614;657719,
35,144403552893600,18432,599107,2,1,236663;1869047,
36,144403552893600,18432,615438,14,1,239797;336621;1828863;1869047;4352423;69537661;69537662;97582118;261813614;300402671;1296447917;1296447918;2634716718;7425110718,
37,5342931457063200,36864,1295984,0,0,,
38,5342931457063200,36864,1329839,1,1,40465463,
39,5342931457063200,36864,1363644,5,1,5776999;13161839;151479719;228986799;11732392319,
40,5342931457063200,36864,1397401,9,1,96620;4171067;37396798;117929965;228986798;652046569;698703290;18379537195;18379537196,
41,219060189739591200,73728,2913317,1,1,3017321,
42,219060189739591200,73728,2982617,1,2,96622,96622:2
43,9419588158802422000,147456,6181296,0,0,,
44,9419588158802422000,147456,6322518,0,0,,
45,9419588158802422000,147456,6463658,0,0,,
